modelo,accuracy,precision,recall,f1_score
Logistic Regression,0.7475684234336123,0.7574407774853209,0.8871235475456486,0.8171690694626474
Random Forest,0.7353539923094322,0.7730095364825904,0.8265354517429452,0.7988769195507678
